         71261 function calls (69945 primitive calls) in 0.017 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.016    0.016 {built-in method builtins.exec}
        1    0.000    0.000    0.016    0.016 <string>:1(<module>)
        1    0.000    0.000    0.016    0.016 Christoffel.py:185(checkriemanns)
       96    0.000    0.000    0.015    0.000 Christoffel.py:175(Riemanndown)
       32    0.000    0.000    0.014    0.000 Christoffel.py:157(Riemannup)
   190/96    0.000    0.000    0.010    0.000 MathInterface.py:9(simplified)
   212/96    0.001    0.000    0.010    0.000 simplify.py:252(simplify)
  828/230    0.000    0.000    0.009    0.000 MathInterface.py:88(__eq__)
  288/168    0.000    0.000    0.007    0.000 simplify.py:160(combineaddterms)
    17891    0.003    0.000    0.006    0.000 {built-in method builtins.isinstance}
  288/168    0.000    0.000    0.006    0.000 simplify.py:112(getmatches2)
  202/154    0.000    0.000    0.005    0.000 MathInterface.py:48(__sub__)
       52    0.000    0.000    0.005    0.000 simplify.py:88(matches)
       32    0.000    0.000    0.005    0.000 Christoffel.py:35(grderiv)
       70    0.000    0.000    0.005    0.000 Polynomial.py:159(equalszero)
   118/96    0.000    0.000    0.004    0.000 Function.py:12(__eq__)
    14217    0.002    0.000    0.003    0.000 <frozen abc>:117(__instancecheck__)
       42    0.000    0.000    0.003    0.000 MathTerm.py:170(canaddcombine)
      804    0.001    0.000    0.003    0.000 MathTerm.py:156(copy)
       40    0.000    0.000    0.002    0.000 Polynomial.py:174(evaluate)
  206/204    0.000    0.000    0.002    0.000 Polynomial.py:135(__add__)
      411    0.000    0.000    0.002    0.000 MathTerm.py:98(__mul__)
       20    0.000    0.000    0.002    0.000 MathTerm.py:217(derivative)
       46    0.000    0.000    0.002    0.000 MathTerm.py:187(evaluate)
1154/1046    0.000    0.000    0.002    0.000 MathTerm.py:16(__init__)
    14217    0.002    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
      316    0.000    0.000    0.002    0.000 MathInterface.py:59(__rmul__)
      320    0.000    0.000    0.002    0.000 Polynomial.py:40(copy)
  220/212    0.000    0.000    0.002    0.000 Variable.py:85(__eq__)
      238    0.000    0.000    0.001    0.000 MathInterface.py:53(__neg__)
   112/72    0.000    0.000    0.001    0.000 MathInterface.py:61(__pow__)
      144    0.000    0.000    0.001    0.000 simplify.py:4(getnumdenom)
      862    0.000    0.000    0.001    0.000 Polynomial.py:10(__init__)
  202/178    0.000    0.000    0.001    0.000 MathTerm.py:241(__eq__)
       14    0.000    0.000    0.001    0.000 Sinfunc.py:38(__add__)
       50    0.000    0.000    0.001    0.000 Sinfunc.py:19(canaddcombine)
      288    0.000    0.000    0.001    0.000 simplify.py:97(promotetomathterm)
       12    0.000    0.000    0.001    0.000 MathTerm.py:197(__add__)
      423    0.000    0.000    0.001    0.000 Sinfunc.py:15(copy)
      697    0.000    0.000    0.001    0.000 Function.py:4(__init__)
      288    0.000    0.000    0.001    0.000 simplify.py:46(simplifymathterms)
        8    0.000    0.000    0.001    0.000 Sinfunc.py:91(__add__)
